seed,n,m,solution,y,phi,aHat,absErr,aTrue,cpu_ms
4,2,5,01,12,0.3750000000,0.1464466094,0.1035533906,0.2500000000,434.716
4,2,6,01,22,0.3437500000,0.2222148835,0.0277851165,0.2500000000,454.882
4,2,7,01,43,0.3359375000,0.2429486279,0.0070513721,0.2500000000,363.191
4,2,8,01,171,0.6679687500,0.2535509039,0.0035509039,0.2500000000,177.184
4,2,9,01,171,0.3339843750,0.2482308081,0.0017691919,0.2500000000,687.671
4,2,10,01,683,0.6669921875,0.2508861665,0.0008861665,0.2500000000,2681.847
4,3,5,010,12,0.3750000000,0.1464466094,0.0214466094,0.1250000000,17.808
4,3,6,010,39,0.6093750000,0.1134947733,0.0115052267,0.1250000000,62.499
4,3,7,010,79,0.6171875000,0.1295244373,0.0045244373,0.1250000000,236.328
4,3,8,010,99,0.3867187500,0.1213955767,0.0036044233,0.1250000000,928.016
4,3,9,010,197,0.3847656250,0.1254318027,0.0004318027,0.1250000000,3674.015
4,3,10,010,630,0.6152343750,0.1254318027,0.0004318027,0.1250000000,14454.825
4,4,5,0100,19,0.5937500000,0.0842651938,0.0217651938,0.0625000000,72.347
4,4,6,0100,27,0.4218750000,0.0590393678,0.0034606322,0.0625000000,294.593
4,4,7,0100,41,0.3203125000,0.2862224533,0.2237224533,0.0625000000,1176.302
4,4,8,0100,148,0.5781250000,0.0590393678,0.0034606322,0.0625000000,4619.409
4,4,9,0100,215,0.4199218750,0.0619649529,0.0005350471,0.0625000000,18359.142
4,4,10,0100,429,0.4189453125,0.0634525108,0.0009525108,0.0625000000,73668.762
2,2,5,01,22,0.6875000000,0.3086582838,0.0586582838,0.2500000000,3.503
2,2,6,01,43,0.6718750000,0.2643016316,0.0143016316,0.2500000000,12.219
2,2,7,01,85,0.6640625000,0.2429486279,0.0070513721,0.2500000000,46.736
2,2,8,01,170,0.6640625000,0.2429486279,0.0070513721,0.2500000000,172.921
2,2,9,01,341,0.6660156250,0.2482308081,0.0017691919,0.2500000000,679.960
2,2,10,01,699,0.6826171875,0.2945784145,0.0445784145,0.2500000000,2643.374
2,3,5,011,13,0.4062500000,0.0842651938,0.0407348062,0.1250000000,13.879
2,3,6,011,40,0.6250000000,0.1464466094,0.0214466094,0.1250000000,54.316
2,3,7,011,49,0.3828125000,0.1295244373,0.0045244373,0.1250000000,203.145
2,3,8,011,114,0.4453125000,0.0292279674,0.0957720326,0.1250000000,813.447
2,3,9,011,317,0.6191406250,0.1336728642,0.0086728642,0.1250000000,3166.041
2,3,10,011,630,0.6152343750,0.1254318027,0.0004318027,0.1250000000,12615.384
2,4,5,0110,13,0.4062500000,0.0842651938,0.0217651938,0.0625000000,66.047
2,4,6,0110,27,0.4218750000,0.0590393678,0.0034606322,0.0625000000,264.498
2,4,7,0110,74,0.5781250000,0.0590393678,0.0034606322,0.0625000000,1039.826
2,4,8,0110,108,0.4218750000,0.0590393678,0.0034606322,0.0625000000,4122.875
2,4,9,0110,215,0.4199218750,0.0619649529,0.0005350471,0.0625000000,16367.912
2,4,10,0110,595,0.5810546875,0.0634525108,0.0009525108,0.0625000000,65983.911
42,2,5,10,10,0.3125000000,0.3086582838,0.0586582838,0.2500000000,3.745
42,2,6,10,21,0.3281250000,0.2643016316,0.0143016316,0.2500000000,13.778
42,2,7,10,43,0.3359375000,0.2429486279,0.0070513721,0.2500000000,49.346
42,2,8,10,85,0.3320312500,0.2535509039,0.0035509039,0.2500000000,175.939
42,2,9,10,170,0.3320312500,0.2535509039,0.0035509039,0.2500000000,684.401
42,2,10,10,341,0.3330078125,0.2508861665,0.0008861665,0.2500000000,2647.742
42,3,5,101,20,0.6250000000,0.1464466094,0.0214466094,0.1250000000,15.526
42,3,6,101,25,0.3906250000,0.1134947733,0.0115052267,0.1250000000,59.728
42,3,7,101,50,0.3906250000,0.1134947733,0.0115052267,0.1250000000,231.522
42,3,8,101,98,0.3828125000,0.1295244373,0.0045244373,0.1250000000,967.290
42,3,9,101,197,0.3847656250,0.1254318027,0.0004318027,0.1250000000,3594.181
42,3,10,101,630,0.6152343750,0.1254318027,0.0004318027,0.1250000000,14327.557
42,4,5,1011,18,0.5625000000,0.0380602337,0.0244397663,0.0625000000,66.107
42,4,6,1011,37,0.5781250000,0.0590393678,0.0034606322,0.0625000000,261.224
42,4,7,1011,74,0.5781250000,0.0590393678,0.0034606322,0.0625000000,1017.890
42,4,8,1011,148,0.5781250000,0.0590393678,0.0034606322,0.0625000000,4024.502
42,4,9,1011,215,0.4199218750,0.0619649529,0.0005350471,0.0625000000,16102.368
42,4,10,1011,430,0.4199218750,0.0619649529,0.0005350471,0.0625000000,64184.976
